a0a1a2
0a-0.8313773501039672a0.5269500276764242a-0.1764521750104582
1a-0.7966479706804334a0.5861816580677224a-0.14745533071314554
2a-0.7706192071222908a0.6248199929903677a-0.12548312226641808
3a-0.7444480320427284a0.6598529722051317a-0.10193715053778134
4a-0.7176029201199312a0.692215992111299a-0.07670116883540869
5a-0.689268243147962a0.7228664752654332a-0.04871701884404033
6a-0.6694857686345471a0.7422765487838309a-0.028536480535880055
7a-0.6409354877462374a0.7675908145660705a-0.0024580360634410157
8a-0.6072683594348811a0.7936360396789638a0.03697264058677018
9a-0.5895677142477002a0.8060444844164305a0.05198268421881199
10a-0.566896256349593a0.8199199761526053a0.07974877580707827
11a-0.5099295523907122a0.8473480201395351a0.14823354668973512
12a-0.49473119031625973a0.8541489543406302a0.16022051406441312
13a-0.482783245081575a0.8598687970765474a0.16596984690791047
14a-0.4946658186264824a0.862539434223559a0.10644929446405293
