Time,u_F_1,u_F_2,u_F_3,u_tau_1,u_tau_2,u_tau_3
0,69.6228720439632,-20.9506805033093,-7.13003833807999e-09,-4.37694990045503,7.53744334164654,-28.0134143376183
2.03389830508475,63.755445841173,-1.20465323882693e-07,-6.71192849955339e-09,-0.199999896588349,-2.44455403852282,22.200000004981
4.06779661016949,78.7777914051844,-2.43539725895706e-08,-6.39605062195286e-09,-0.199999883703853,-0.20000037010028,9.42220796046973
6.10169491525424,87.9999995019626,-1.95234488541924e-08,-6.12068163149847e-09,-0.199999833486083,-0.199999882747436,4.63770431427271e-05
8.13559322033898,15.0707022355816,-1.72754676201421e-08,-5.9967471015329e-09,-0.199999769013081,-7.85888405228846,-4.22586635951518
10.1694915254237,1.15754242401471e-07,-1.48594513770135e-08,-6.20024391691847e-09,-0.199999742525891,0.199996526412059,0.199999012070856
12.2033898305085,5.55981959412086e-08,-1.28423426312446e-08,-6.46676747985095e-09,-0.199999710246523,0.199611480110707,0.19999961754198
14.2372881355932,3.56990728680788e-08,-1.11894733040072e-08,-6.70959900206715e-09,-0.199999656869779,1.79110877624195e-07,0.199999735412151
16.271186440678,2.57779009169198e-08,-9.795135602024e-09,-6.92040267024783e-09,-0.199999560480433,-0.0748441553874089,0.199999788132306
18.3050847457627,1.98145241909687e-08,-8.59965812347152e-09,-7.09054347146722e-09,-0.199999366049309,-0.199998971071171,0.199999825006366
20.3389830508475,1.58082535713941e-08,-7.56643992505705e-09,-7.21141723476708e-09,-0.199998753127163,-0.199999517533276,0.199999850291481
22.3728813559322,1.29143236178505e-08,-6.66946971291599e-09,-7.27114529832247e-09,-0.000116334502521245,-0.199999697536779,0.199999868498865
24.4067796610169,1.07209790711015e-08,-5.88874594378797e-09,-7.25403603513011e-09,1.68516134269901e-07,-0.199999787869024,0.199999883708058
26.4406779661017,8.98842844820807e-09,-5.2048494834953e-09,-7.16092743975179e-09,0.199992597544458,-0.199999840012212,0.199999894819254
28.4745762711864,7.57694342225613e-09,-4.6039429029011e-09,-6.99099141135964e-09,0.199998668834247,-0.1999998737691,0.199999903382367
30.5084745762712,6.39829427294546e-09,-4.071824020891e-09,-6.74920881081114e-09,0.199999221328004,-0.199999896662103,0.199999909392741
32.5423728813559,5.39310646932513e-09,-3.59669133879079e-09,-6.44330466731099e-09,0.199999426066592,-0.199999912977043,0.199999913532279
34.5762711864407,4.52002013803886e-09,-3.16946669167439e-09,-6.08168513764979e-09,0.199999530306698,-0.199999925043289,0.199999916206449
36.6101694915254,3.74943977514861e-09,-2.78305947271046e-09,-5.67289579326815e-09,0.199999591122306,-0.199999934224308,0.199999917656704
38.6440677966102,3.05976895716867e-09,-2.43185079003079e-09,-5.22515438473109e-09,0.199999628652595,-0.199999941365793,0.199999918017103
40.6779661016949,2.43506600812067e-09,-2.11132409579737e-09,-4.74596891649046e-09,0.199999651670175,-0.199999947016929,0.199999917341874
42.7118644067797,1.86355059264388e-09,-1.81779614936458e-09,-4.24184086583198e-09,0.199999664427256,-0.199999951548187,0.1999999156175
44.7457627118644,1.33664101321337e-09,-1.54821859924511e-09,-3.71804633409464e-09,0.199999669005485,-0.199999955217039,0.199999912763051
46.7796610169492,8.48333902172683e-10,-1.30003060870662e-09,-3.17848301863475e-09,0.19999966623303,-0.199999958207443,0.199999908619177
48.8135593220339,3.94809469828415e-10,-1.07104932474321e-09,-2.62556685496903e-09,0.199999656032099,-0.199999960653004,0.199999902922788
50.8474576271186,-2.86943271417324e-11,-8.59389088195703e-10,-2.06015852491595e-09,0.199999637465381,-0.199999962653234,0.199999895261775
52.8813559322034,-4.16614423453028e-10,-6.63402935183221e-10,-1.48011190322546e-09,0.199999608536783,-0.199999964280106,0.19999988498152
54.9152542372881,-7.71580725480423e-10,-4.81641698128074e-10,-8.84300545379075e-10,0.199999565673399,-0.199999965586121,0.199999871024556
56.9491525423729,-1.08778072439331e-09,-3.12827189561691e-10,-2.68438475306803e-10,0.199999502612218,-0.199999966612561,0.199999851587754
58.9830508474576,-1.36218104012363e-09,-1.55836756749482e-10,3.7253964005946e-10,0.199999408042451,-0.199999967388131,0.199999823342637
61.0169491525424,-1.58935136896785e-09,-9.69705419929272e-12,1.05031906758798e-09,0.199999260123305,-0.199999967930296,0.199999779446246
63.0508474576271,-1.76327145417903e-09,1.26414720198307e-10,1.77387811104487e-09,0.199999012365105,-0.199999968254421,0.199999703272657
