q_1,q_2,q_3,q_4,u_RCS_1,u_RCS_2,u_RCS_3,u_RCS_4,u_RCS_5,u_RCS_6,u_RCS_7,u_RCS_8,u_RCS_9,u_RCS_10,u_RCS_11,u_RCS_12
0,-0.205543453289937,0.822173813159748,0.530831526723882,0.0159999747426001,0.0159999747426001,0.0159999747426001,0.0159999747426001,-0.0205303251895027,-0.0205303251895027,-0.0205303251895027,-0.0205303251895027,0.00634673744172445,0.00634673744172445,0.00634673744172445,0.00634673744172445
0,-0.201749698608027,0.810128239449703,0.550444633689616,1.28388190676941e-08,1.28388190676941e-08,1.28388190676941e-08,1.28388190676941e-08,-1.6542017041559e-08,-1.6542017041559e-08,-1.6542017041559e-08,-1.6542017041559e-08,6.36121135675091e-09,6.36121135675091e-09,6.36121135675091e-09,6.36121135675091e-09
0,-0.197534031985784,0.799062930087279,0.567872115856882,6.60187349673261e-09,6.60187349673261e-09,6.60187349673261e-09,6.60187349673261e-09,-8.66073664728331e-09,-8.66073664728331e-09,-8.66073664728331e-09,-8.66073664728331e-09,3.97896262621574e-09,3.97896262621574e-09,3.97896262621574e-09,3.97896262621574e-09
0,-0.193535011645093,0.788400739090909,0.583925058435106,4.50670069816728e-09,4.50670069816728e-09,4.50670069816728e-09,4.50670069816728e-09,-6.08507787741848e-09,-6.08507787741848e-09,-6.08507787741848e-09,-6.08507787741848e-09,3.23634309129354e-09,3.23634309129354e-09,3.23634309129354e-09,3.23634309129354e-09
0,-0.189712777022621,0.778104420012126,0.598800946719323,3.44582331788218e-09,3.44582331788218e-09,3.44582331788218e-09,3.44582331788218e-09,-4.84154420602035e-09,-4.84154420602035e-09,-4.84154420602035e-09,-4.84154420602035e-09,2.91187738649824e-09,2.91187738649824e-09,2.91187738649824e-09,2.91187738649824e-09
0,-0.186032970117687,0.768133721766054,0.612668196918219,2.79695658950214e-09,2.79695658950214e-09,2.79695658950214e-09,2.79695658950214e-09,-4.13658925220529e-09,-4.13658925220529e-09,-4.13658925220529e-09,-4.13658925220529e-09,2.76259952076483e-09,2.76259952076483e-09,2.76259952076483e-09,2.76259952076483e-09
0,-0.182465479778897,0.758447367158846,0.625670791981591,2.35186452995883e-09,2.35186452995883e-09,2.35186452995883e-09,2.35186452995883e-09,-3.70695281616632e-09,-3.70695281616632e-09,-3.70695281616632e-09,-3.70695281616632e-09,2.70895310307642e-09,2.70895310307642e-09,2.70895310307642e-09,2.70895310307642e-09
0,-0.178983484810812,0.749004184582482,0.637932319014259,2.02041826629032e-09,2.02041826629032e-09,2.02041826629032e-09,2.02041826629032e-09,-3.44121543113523e-09,-3.44121543113523e-09,-3.44121543113523e-09,-3.44121543113523e-09,2.71843748402356e-09,2.71843748402356e-09,2.71843748402356e-09,2.71843748402356e-09
0,-0.175562698361536,0.739763683136511,0.649559413800092,1.75653305193184e-09,1.75653305193184e-09,1.75653305193184e-09,1.75653305193184e-09,-3.28528904655507e-09,-3.28528904655507e-09,-3.28528904655507e-09,-3.28528904655507e-09,2.77662936646873e-09,2.77662936646873e-09,2.77662936646873e-09,2.77662936646873e-09
0,-0.172180752120025,0.730686263015761,0.660644665186546,1.53338143978096e-09,1.53338143978096e-09,1.53338143978096e-09,1.53338143978096e-09,-3.21104671379613e-09,-3.21104671379613e-09,-3.21104671379613e-09,-3.21104671379613e-09,2.8776627225608e-09,2.8776627225608e-09,2.8776627225608e-09,2.8776627225608e-09
0,-0.16881667934638,0.721733186168181,0.671269049456317,1.33334720463805e-09,1.33334720463805e-09,1.33334720463805e-09,1.33334720463805e-09,-3.20395056376042e-09,-3.20395056376042e-09,-3.20395056376042e-09,-3.20395056376042e-09,3.02060203937356e-09,3.02060203937356e-09,3.02060203937356e-09,3.02060203937356e-09
0,-0.165450467852656,0.712866387128044,0.68150396681923,1.14327938473502e-09,1.14327938473502e-09,1.14327938473502e-09,1.14327938473502e-09,-3.25766740484509e-09,-3.25766740484509e-09,-3.25766740484509e-09,-3.25766740484509e-09,3.20803601816534e-09,3.20803601816534e-09,3.20803601816534e-09,3.20803601816534e-09
0,-0.162062661429943,0.704048173479753,0.691412946935525,9.51866359370849e-10,9.51866359370849e-10,9.51866359370849e-10,9.51866359370849e-10,-3.37171029478277e-09,-3.37171029478277e-09,-3.37171029478277e-09,-3.37171029478277e-09,3.44570710652744e-09,3.44570710652744e-09,3.44570710652744e-09,3.44570710652744e-09
0,-0.158633992818317,0.695240844688032,0.701053082298331,7.47854816210036e-10,7.47854816210036e-10,7.47854816210036e-10,7.47854816210036e-10,-3.55064767023172e-09,-3.55064767023172e-09,-3.55064767023172e-09,-3.55064767023172e-09,3.74278216851385e-09,3.74278216851385e-09,3.74278216851385e-09,3.74278216851385e-09
0,-0.155145034187674,0.686406243670806,0.710476239586264,5.18482754321329e-10,5.18482754321329e-10,5.18482754321329e-10,5.18482754321329e-10,-3.80436014557764e-09,-3.80436014557764e-09,-3.80436014557764e-09,-3.80436014557764e-09,4.11269194948162e-09,4.11269194948162e-09,4.11269194948162e-09,4.11269194948162e-09
0,-0.151575852813976,0.677505245161169,0.719730090813785,2.47690275163428e-10,2.47690275163428e-10,2.47690275163428e-10,2.47690275163428e-10,-4.14927793358341e-09,-4.14927793358341e-09,-4.14927793358341e-09,-4.14927793358341e-09,4.57466512792043e-09,4.57466512792043e-09,4.57466512792043e-09,4.57466512792043e-09
0,-0.147905660529087,0.668497177027227,0.728858998634224,-8.63581516845675e-11,-8.63581516845675e-11,-8.63581516845675e-11,-8.63581516845675e-11,-4.61087045061256e-09,-4.61087045061256e-09,-4.61087045061256e-09,-4.61087045061256e-09,5.15629354664084e-09,5.15629354664084e-09,5.15629354664084e-09,5.15629354664084e-09
0,-0.144112445781054,0.659339164173973,0.737904783530619,-5.15140665930878e-10,-5.15140665930878e-10,-5.15140665930878e-10,-5.15140665930878e-10,-5.22808604258444e-09,-5.22808604258444e-09,-5.22808604258444e-09,-5.22808604258444e-09,5.8977976124966e-09,5.8977976124966e-09,5.8977976124966e-09,5.8977976124966e-09
0,-0.140172576876792,0.649985378627943,0.746907394702723,-1.08629573442723e-09,-1.08629573442723e-09,-1.08629573442723e-09,-1.08629573442723e-09,-6.06118773777347e-09,-6.06118773777347e-09,-6.06118773777347e-09,-6.06118773777347e-09,6.85928874181481e-09,6.85928874181481e-09,6.85928874181481e-09,6.85928874181481e-09
0,-0.136060364260105,0.640386173268691,0.755905500948161,-1.87529530785252e-09,-1.87529530785252e-09,-1.87529530785252e-09,-1.87529530785252e-09,-7.20596141094908e-09,-7.20596141094908e-09,-7.20596141094908e-09,-7.20596141094908e-09,8.13362644561316e-09,8.13362644561316e-09,8.13362644561316e-09,8.13362644561316e-09
0,-0.131747568563507,0.630487069915463,0.76493701233959,-3.00763306192125e-09,-3.00763306192125e-09,-3.00763306192125e-09,-3.00763306192125e-09,-8.82070436634516e-09,-8.82070436634516e-09,-8.82070436634516e-09,-8.82070436634516e-09,9.87036839997634e-09,9.87036839997634e-09,9.87036839997634e-09,9.87036839997634e-09
0,-0.12720283973826,0.620227564667959,0.774039537484084,-4.70391499445446e-09,-4.70391499445446e-09,-4.70391499445446e-09,-4.70391499445446e-09,-1.11807673025688e-08,-1.11807673025688e-08,-1.11807673025688e-08,-1.11807673025688e-08,1.23233123198629e-08,1.23233123198629e-08,1.23233123198629e-08,1.23233123198629e-08
0,-0.122391070936712,0.609539704139649,0.783250773911085,-7.37920165071861e-09,-7.37920165071861e-09,-7.37920165071861e-09,-7.37920165071861e-09,-1.47978535438049e-08,-1.47978535438049e-08,-1.47978535438049e-08,-1.47978535438049e-08,1.59526919372615e-08,1.59526919372615e-08,1.59526919372615e-08,1.59526919372615e-08
0,-0.117272649241989,0.598346375250815,0.792608819635497,-1.1885485774048e-08,-1.1885485774048e-08,-1.1885485774048e-08,-1.1885485774048e-08,-2.07089817300547e-08,-2.07089817300547e-08,-2.07089817300547e-08,-2.07089817300547e-08,2.16684802178772e-08,2.16684802178772e-08,2.16684802178772e-08,2.16684802178772e-08
0,-0.11180258426702,0.586559238490329,0.802152380718814,-2.01898409478781e-08,-2.01898409478781e-08,-2.01898409478781e-08,-2.01898409478781e-08,-3.12784670215645e-08,-3.12784670215645e-08,-3.12784670215645e-08,-3.12784670215645e-08,3.14941018395765e-08,3.14941018395765e-08,3.14941018395765e-08,3.14941018395765e-08
0,-0.105929495912585,0.574076220384661,0.811920830552196,-3.76733101510245e-08,-3.76733101510245e-08,-3.76733101510245e-08,-3.76733101510245e-08,-5.28962311254492e-08,-5.28962311254492e-08,-5.28962311254492e-08,-5.28962311254492e-08,5.07612554533461e-08,5.07612554533461e-08,5.07612554533461e-08,5.07612554533461e-08
0,-0.0995944456571986,0.560778466692164,0.821954048404545,-8.36524454070182e-08,-8.36524454070182e-08,-8.36524454070182e-08,-8.36524454070182e-08,-1.08237097420328e-07,-1.08237097420328e-07,-1.08237097420328e-07,-1.08237097420328e-07,9.79102496276601e-08,9.79102496276601e-08,9.79102496276601e-08,9.79102496276601e-08
0,-0.0927296040050581,0.546526646902745,0.832291922804918,-2.77001545054836e-07,-2.77001545054836e-07,-2.77001545054836e-07,-2.77001545054836e-07,-3.35311174476279e-07,-3.35311174476279e-07,-3.35311174476279e-07,-3.35311174476279e-07,2.82305547577266e-07,2.82305547577266e-07,2.82305547577266e-07,2.82305547577266e-07
0,-0.0852567614772163,0.531156502570162,0.842973341452652,-0.00428482597425172,-0.00428482597425172,-0.00428482597425172,-0.00428482597425172,-0.00492214370385361,-0.00492214370385361,-0.00492214370385361,-0.00492214370385361,0.00379981047159478,0.00379981047159478,0.00379981047159478,0.00379981047159478
0,-0.0768752045853424,0.514671170348394,0.8539343003605,-0.00265354026338084,-0.00265354026338084,-0.00265354026338084,-0.00265354026338084,-0.00292927961980849,-0.00292927961980849,-0.00292927961980849,-0.00292927961980849,0.00203783449509204,0.00203783449509204,0.00203783449509204,0.00203783449509204
0,-0.0673446822719431,0.49698359907731,0.865142760483988,-3.66743532543249e-07,-3.66743532543249e-07,-3.66743532543249e-07,-3.66743532543249e-07,-3.9373090847595e-07,-3.9373090847595e-07,-3.9373090847595e-07,-3.9373090847595e-07,2.41654092165804e-07,2.41654092165804e-07,2.41654092165804e-07,2.41654092165804e-07
0,-0.0567407838993535,0.477643996093008,0.876719280293749,-1.33476009727196e-07,-1.33476009727196e-07,-1.33476009727196e-07,-1.33476009727196e-07,-1.41292402547918e-07,-1.41292402547918e-07,-1.41292402547918e-07,-1.41292402547918e-07,7.44227026886107e-08,7.44227026886107e-08,7.44227026886107e-08,7.44227026886107e-08
0,-0.0450469853116767,0.456218289750595,0.888726977879805,-7.24702134232775e-08,-7.24702134232775e-08,-7.24702134232775e-08,-7.24702134232775e-08,-7.6807622043423e-08,-7.6807622043423e-08,-7.6807622043423e-08,-7.6807622043423e-08,3.34683601462506e-08,3.34683601462506e-08,3.34683601462506e-08,3.34683601462506e-08
0,-0.0321228992122839,0.432342791947382,0.901136964948914,-4.69714621808107e-08,-4.69714621808107e-08,-4.69714621808107e-08,-4.69714621808107e-08,-5.06703225725064e-08,-5.06703225725064e-08,-5.06703225725064e-08,-5.06703225725064e-08,1.73515547645134e-08,1.73515547645134e-08,1.73515547645134e-08,1.73515547645134e-08
0,-0.0178213537299778,0.405599044727328,0.913877351873603,-3.36179712250378e-08,-3.36179712250378e-08,-3.36179712250378e-08,-3.36179712250378e-08,-3.75833535257335e-08,-3.75833535257335e-08,-3.75833535257335e-08,-3.75833535257335e-08,9.34690341359561e-09,9.34690341359561e-09,9.34690341359561e-09,9.34690341359561e-09
0,-0.00199790595153986,0.375518433892406,0.926812771911783,-2.55706006163753e-08,-2.55706006163753e-08,-2.55706006163753e-08,-2.55706006163753e-08,-3.02292969357859e-08,-3.02292969357859e-08,-3.02292969357859e-08,-3.02292969357859e-08,4.73176073716161e-09,4.73176073716161e-09,4.73176073716161e-09,4.73176073716161e-09
-0,0.0154724705164921,0.341599532566869,0.93971823543348,-2.01939883016899e-08,-2.01939883016899e-08,-2.01939883016899e-08,-2.01939883016899e-08,-2.58352781722363e-08,-2.58352781722363e-08,-2.58352781722363e-08,-2.58352781722363e-08,1.7551981271845e-09,1.7551981271845e-09,1.7551981271845e-09,1.7551981271845e-09
-0,0.0346689653014429,0.303346594305726,0.952249393052075,-1.62753478548145e-08,-1.62753478548145e-08,-1.62753478548145e-08,-1.62753478548145e-08,-2.31584040787753e-08,-2.31584040787753e-08,-2.31584040787753e-08,-2.31584040787753e-08,-3.53431688803618e-10,-3.53431688803618e-10,-3.53431688803618e-10,-3.53431688803618e-10
-0,0.0555873841440027,0.260338948231331,0.963915802732703,-1.31775968785081e-08,-1.31775968785081e-08,-1.31775968785081e-08,-1.31775968785081e-08,-2.15724998546911e-08,-2.15724998546911e-08,-2.15724998546911e-08,-2.15724998546911e-08,-1.97725940007681e-09,-1.97725940007681e-09,-1.97725940007681e-09,-1.97725940007681e-09
-0,0.0780939358346947,0.212337898732652,0.974070815673916,-1.05277017274675e-08,-1.05277017274675e-08,-1.05277017274675e-08,-1.05277017274675e-08,-2.07326324971707e-08,-2.07326324971707e-08,-2.07326324971707e-08,-2.07326324971707e-08,-3.32643864550903e-09,-3.32643864550903e-09,-3.32643864550903e-09,-3.32643864550903e-09
-0,0.101880491404351,0.159425085811218,0.981938902114227,-8.08633532057307e-09,-8.08633532057307e-09,-8.08633532057307e-09,-8.08633532057307e-09,-2.0434755814873e-08,-2.0434755814873e-08,-2.0434755814873e-08,-2.0434755814873e-08,-4.52862685308996e-09,-4.52862685308996e-09,-4.52862685308996e-09,-4.52862685308996e-09
-0,0.126441536795785,0.102141041306884,0.986701446970392,-5.6878340072678e-09,-5.6878340072678e-09,-5.6878340072678e-09,-5.6878340072678e-09,-2.05532724966299e-08,-2.05532724966299e-08,-2.05532724966299e-08,-2.05532724966299e-08,-5.6738065436205e-09,-5.6738065436205e-09,-5.6738065436205e-09,-5.6738065436205e-09
-0,0.151098521169471,0.0415626902029336,0.987644561410376,-3.20814348425228e-09,-3.20814348425228e-09,-3.20814348425228e-09,-3.20814348425228e-09,-2.10156866020792e-08,-2.10156866020792e-08,-2.10156866020792e-08,-2.10156866020792e-08,-6.84187156385613e-09,-6.84187156385613e-09,-6.84187156385613e-09,-6.84187156385613e-09
0,0.175086784180247,-0.0207502657082073,0.984334315402271,-5.40272424554055e-10,-5.40272424554055e-10,-5.40272424554055e-10,-5.40272424554055e-10,-2.17984000930167e-08,-2.17984000930167e-08,-2.17984000930167e-08,-2.17984000930167e-08,-8.12480172859726e-09,-8.12480172859726e-09,-8.12480172859726e-09,-8.12480172859726e-09
0,0.197689592982743,-0.0829680340927437,0.976747219164254,2.43537829780904e-09,2.43537829780904e-09,2.43537829780904e-09,2.43537829780904e-09,-2.29363216146616e-08,-2.29363216146616e-08,-2.29363216146616e-08,-2.29363216146616e-08,-9.64989071721097e-09,-9.64989071721097e-09,-9.64989071721097e-09,-9.64989071721097e-09
0,0.218370567975918,-0.143305106675992,0.96528645564022,5.89576079423286e-09,5.89576079423286e-09,5.89576079423286e-09,5.89576079423286e-09,-2.45440820111807e-08,-2.45440820111807e-08,-2.45440820111807e-08,-2.45440820111807e-08,-1.16115934943634e-08,-1.16115934943634e-08,-1.16115934943634e-08,-1.16115934943634e-08
0,0.236850525024544,-0.200313701436191,0.950671473124407,1.01493651637731e-08,1.01493651637731e-08,1.01493651637731e-08,1.01493651637731e-08,-2.68556679443528e-08,-2.68556679443528e-08,-2.68556679443528e-08,-2.68556679443528e-08,-1.43281788911503e-08,-1.43281788911503e-08,-1.43281788911503e-08,-1.43281788911503e-08
0,0.253106443376791,-0.25304903055396,0.93375763260969,1.57770297606279e-08,1.57770297606279e-08,1.57770297606279e-08,1.57770297606279e-08,-3.03091945420403e-08,-3.03091945420403e-08,-3.03091945420403e-08,-3.03091945420403e-08,-1.83629020135508e-08,-1.83629020135508e-08,-1.83629020135508e-08,-1.83629020135508e-08
0,0.267311622067318,-0.301079402319306,0.915366424011056,2.39505708059696e-08,2.39505708059696e-08,2.39505708059696e-08,2.39505708059696e-08,-3.57534664746831e-08,-3.57534664746831e-08,-3.57534664746831e-08,-3.57534664746831e-08,-2.48176157487006e-08,-2.48176157487006e-08,-2.48176157487006e-08,-2.48176157487006e-08
0,0.279755243123687,-0.344387968074593,0.896177399508747,3.72944097800856e-08,3.72944097800856e-08,3.72944097800856e-08,3.72944097800856e-08,-4.50155228547334e-08,-4.50155228547334e-08,-4.50155228547334e-08,-4.50155228547334e-08,-3.6144476255481e-08,-3.6144476255481e-08,-3.6144476255481e-08,-3.6144476255481e-08
0,0.290772052049317,-0.383235299802989,0.876688267705199,6.27387063159709e-08,6.27387063159709e-08,6.27387063159709e-08,6.27387063159709e-08,-6.27543988418349e-08,-6.27543988418349e-08,-6.27543988418349e-08,-6.27543988418349e-08,-5.88513173343233e-08,-5.88513173343233e-08,-5.88513173343233e-08,-5.88513173343233e-08
0,0.300695009637019,-0.418032812687801,0.857222887407773,1.24260508684777e-07,1.24260508684777e-07,1.24260508684777e-07,1.24260508684777e-07,-1.045609408804e-07,-1.045609408804e-07,-1.045609408804e-07,-1.045609408804e-07,-1.15641782277664e-07,-1.15641782277664e-07,-1.15641782277664e-07,-1.15641782277664e-07
0,0.309830417138514,-0.449249676749266,0.837961717834684,3.63841849008263e-07,3.63841849008263e-07,3.63841849008263e-07,3.63841849008263e-07,-2.5967835931365e-07,-2.5967835931365e-07,-2.5967835931365e-07,-2.5967835931365e-07,-3.4212263109764e-07,-3.4212263109764e-07,-3.4212263109764e-07,-3.4212263109764e-07
0,0.318449275651222,-0.477354271217244,0.818976775365374,0.0173070349533246,0.0173070349533246,0.0173070349533246,0.0173070349533246,-0.0105030437295852,-0.0105030437295852,-0.0105030437295852,-0.0105030437295852,-0.0166690009987016,-0.0166690009987016,-0.0166690009987016,-0.0166690009987016
0,0.325579724226687,-0.50235864719188,0.801020369755987,0.0250261364704521,0.0250261364704521,0.0250261364704521,0.0250261364704521,-0.0129750938207962,-0.0129750938207962,-0.0129750938207962,-0.0129750938207962,-0.0250728193569124,-0.0250728193569124,-0.0250728193569124,-0.0250728193569124
0,0.329543943706204,-0.524457567476678,0.785076460660367,3.17396145147899e-07,3.17396145147899e-07,3.17396145147899e-07,3.17396145147899e-07,-1.42519968318832e-07,-1.42519968318832e-07,-1.42519968318832e-07,-1.42519968318832e-07,-3.37414416761681e-07,-3.37414416761681e-07,-3.37414416761681e-07,-3.37414416761681e-07
0,0.331546128273796,-0.544698645041098,0.770311982846592,9.99917690740208e-08,9.99917690740208e-08,9.99917690740208e-08,9.99917690740208e-08,-3.9156626866085e-08,-3.9156626866085e-08,-3.9156626866085e-08,-3.9156626866085e-08,-1.14296644046457e-07,-1.14296644046457e-07,-1.14296644046457e-07,-1.14296644046457e-07
0,0.333454235292975,-0.563801367172444,0.755603263187541,4.72898408726373e-08,4.72898408726373e-08,4.72898408726373e-08,4.72898408726373e-08,-1.60390104186795e-08,-1.60390104186795e-08,-1.60390104186795e-08,-1.60390104186795e-08,-5.84474453069251e-08,-5.84474453069251e-08,-5.84474453069251e-08,-5.84474453069251e-08
0,0.335322504073387,-0.581966729877368,0.74086000268458,2.68254037832264e-08,2.68254037832264e-08,2.68254037832264e-08,2.68254037832264e-08,-7.79831477335161e-09,-7.79831477335161e-09,-7.79831477335161e-09,-7.79831477335161e-09,-3.60472144560735e-08,-3.60472144560735e-08,-3.60472144560735e-08,-3.60472144560735e-08
0,0.337195477928738,-0.599377241040643,0.725979429864867,1.68892791294744e-08,1.68892791294744e-08,1.68892791294744e-08,1.68892791294744e-08,-4.14560417000298e-09,-4.14560417000298e-09,-4.14560417000298e-09,-4.14560417000298e-09,-2.48176275708883e-08,-2.48176275708883e-08,-2.48176275708883e-08,-2.48176275708883e-08
