Time,r_1,r_2,r_3
0,-0.0282842712474619,-0.0565685424949238,-0.014142135623731
7.20720720720721,-0.0284951022998605,-0.0561437136256763,-0.0140359284064191
14.4144144144144,-0.028704338167508,-0.0557157417743089,-0.0139289354435772
21.6216216216216,-0.0289119671371364,-0.0552846508991831,-0.0138211627247958
28.8288288288288,-0.0291179775855072,-0.0548504651331205,-0.0137126162832801
36.036036036036,-0.0293223579799049,-0.0544132087823642,-0.0136033021955911
43.2432432432432,-0.029525096878948,-0.0539729063248864,-0.0134932265812216
50.4504504504505,-0.0297261829330676,-0.0535295824093471,-0.0133823956023368
57.6576576576577,-0.0299256048853006,-0.0530832618533891,-0.0132708154633473
64.8648648648649,-0.0301233515717665,-0.0526339696425689,-0.0131584924106422
72.0720720720721,-0.0303194119224406,-0.0521817309286442,-0.013045432732161
79.2792792792793,-0.0305137749616314,-0.0517265710284713,-0.0129316427571178
86.4864864864865,-0.0307064298087308,-0.0512685154222928,-0.0128171288555732
93.6936936936937,-0.0308973656786946,-0.0508075897525938,-0.0127018974381485
100.900900900901,-0.031086571882767,-0.0503438198223984,-0.0125859549555996
108.108108108108,-0.0312740378289669,-0.0498772315940765,-0.0124693078985191
115.315315315315,-0.0314597530227832,-0.0494078511876579,-0.0123519627969145
122.522522522523,-0.0316437070676708,-0.0489357048795813,-0.0122339262198953
129.72972972973,-0.0318258896657125,-0.0484608191010363,-0.0121152047752591
136.936936936937,-0.0320062906181274,-0.047983220436644,-0.011995805109161
144.144144144144,-0.0321848998258979,-0.0475029356228372,-0.0118757339057093
151.351351351351,-0.0323617072902916,-0.0470199915464648,-0.0117549978866162
158.558558558559,-0.0325367031134513,-0.0465344152432177,-0.0116336038108044
165.765765765766,-0.0327098774989324,-0.0460462338961505,-0.0115115584740376
172.972972972973,-0.0328812207522542,-0.0455554748341599,-0.01138886870854
180.18018018018,-0.0330507232814534,-0.0450621655304181,-0.0112655413826045
187.387387387387,-0.0332183755975972,-0.0445663336009083,-0.0111415834002271
194.594594594595,-0.0333841683153508,-0.0440680068027691,-0.0110170017006923
201.801801801802,-0.0335480921534545,-0.0435672130328857,-0.0108918032582214
209.009009009009,-0.0337101379353032,-0.0430639803261485,-0.0107659950815371
216.216216216216,-0.0338702965893892,-0.0425583368540964,-0.0106395842135241
223.423423423423,-0.0340285591498908,-0.0420503109230967,-0.0105125777307742
230.630630630631,-0.0341849167570851,-0.0415399309730304,-0.0103849827432576
237.837837837838,-0.0343393606579396,-0.041027225575407,-0.0102568063938518
245.045045045045,-0.0344918822065021,-0.0405122234320774,-0.0101280558580193
252.252252252252,-0.0346424728644877,-0.0399949533732999,-0.00999873834332498
259.459459459459,-0.0347911242016523,-0.0394754443564632,-0.0098688610891158
266.666666666667,-0.0349378278963685,-0.0389537254641248,-0.0097384313660312
273.873873873874,-0.0350825757359904,-0.0384298259027197,-0.00960745647567993
281.081081081081,-0.0352253596174093,-0.0379037750006011,-0.00947594375015027
288.288288288288,-0.0353661715474187,-0.0373756022067011,-0.00934390055167526
295.495495495496,-0.0355050036432404,-0.0368453370886107,-0.00921133427215267
302.702702702703,-0.0356418481328995,-0.0363130093311561,-0.00907825233278903
309.90990990991,-0.035776697355712,-0.0357786487345528,-0.00894466218363819
317.117117117117,-0.035909543762676,-0.0352422852128682,-0.00881057130321704
324.324324324324,-0.0360403799169161,-0.034703948792273,-0.00867598719806826
331.531531531532,-0.036169198494094,-0.0341636696093759,-0.00854091740234397
